"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12578805","2026-03-10","Palm Jumeirah","Marina Residences","Marina Residences 1","","","4175000","2348","25275","1778","165.18","Apartment","2","","","","Y","0","0","","13","Title Deed","","Nakheel","","Resale"
"12565071","2026-02-24","Palm Jumeirah","Marina Residences","Marina Residences 3","","","3307284","1675","18022","1975","183.51","Apartment","2","","","","Y","0","0","","1","Title Deed","","Nakheel","","Resale"
"12564470","2026-02-23","Palm Jumeirah","Marina Residences","Marina Residences 5","","","7000000","2871","30896","2438","226.57","Apartment","3","","","","Y","0","0","","8","Title Deed","","Nakheel","","Resale"
"12553160","2026-02-19","Palm Jumeirah","Marina Residences","Marina Residences 4","","","15500000","3824","41160","4053","376.58","Apartment","3","Community,Marina,Sea","","","Y","0","0","","13","Title Deed","","Nakheel","","Resale"
"12552345","2026-02-18","Palm Jumeirah","Marina Residences","Marina Residences 1","","","3200000","1800","19372","1778","165.19","Apartment","2","","","","Y","0","0","","13","Title Deed","","Nakheel","","Resale"
"12548239","2026-02-13","Palm Jumeirah","Marina Residences","Marina Residences 4","","","4999000","2050","22056","2439","226.65","Apartment","3","Sea View","","","Y","0","0","","3","Title Deed","","Nakheel","","Resale"
"12552149","2026-02-11","Palm Jumeirah","Marina Residences","Marina Residences 4","","","3900000","1911","20572","2041","189.58","Apartment","2","Community/ Road/ Play Area","","","","0","0","","3rd","Pending Sales (SPA/MOU)","","Nakheel","",""
"12517824","2026-02-04","Palm Jumeirah","Marina Residences","Marina Residences 2","","","12900000","3183","34256","4053","376.58","Apartment","3","","","","Y","0","0","","6","Title Deed","","Nakheel","","Resale"
"12510015","2026-02-02","Palm Jumeirah","Marina Residences","Marina Residences 3","","","7300000","2994","32220","2438","226.57","Apartment","3","","","","Y","0","0","","9","Title Deed","","Nakheel","","Resale"
"12485773","2026-01-28","Palm Jumeirah","Marina Residences","Marina Residences 4","","","15250000","3763","40496","4053","376.58","Apartment","3","","","","Y","0","0","","12","Title Deed","","Nakheel","","Resale"
"12480198","2026-01-20","Palm Jumeirah","Marina Residences","Marina Residences 4","","","15500000","3824","41160","4053","376.58","Apartment","3","Community,Marina,Sea","","","Y","0","0","","13","Pending Sales (SPA/MOU)","","Nakheel","",""
"12465887","2026-01-09","Palm Jumeirah","Marina Residences","Marina Residences 3","","","3125000","1582","17029","1975","183.51","Apartment","2","","","","Y","0","0","","1","Pending Sales (SPA/MOU)","","Nakheel","",""
"12333699","2025-12-26","Palm Jumeirah","Marina Residences","Marina Residences 4","","","4300000","2105","22645","2043","189.89","Apartment","2","Community,Swimming Pool,Partial Sea","","","Y","0","0","","2","Title Deed","","Nakheel","","Resale"
"12318323","2025-12-24","Palm Jumeirah","Marina Residences","Marina Residences 4","","","3080000","1593","17135","1934","179.75","Apartment","2","","","","Y","0","0","","G","Title Deed","","Nakheel","","Resale"
"12225320","2025-12-18","Palm Jumeirah","Marina Residences","Marina Residences 2","","","32310000","2467","26557","13095","1216.61","Apartment","5","Marina","","","Y","0","0","","14","Title Deed","","Nakheel","","Resale"
"12203950","2025-12-15","Palm Jumeirah","Marina Residences","Marina Residences 4","","","6700000","2655","28568","2524","234.53","Apartment","3","","","","Y","0","0","","12","Title Deed","","Nakheel","","Resale"
"12191239","2025-12-11","Palm Jumeirah","Marina Residences","Marina Residences 6","","","4180000","2048","22036","2041","189.69","Apartment","2","Community,Swimming Pool,Partial Marina","","","Y","0","0","","2","Title Deed","","Nakheel","","Resale"
"12190870","2025-12-11","Palm Jumeirah","Marina Residences","Marina Residences 6","","","12750000","3146","33857","4053","376.58","Apartment","3","","","","Y","0","0","","10","Title Deed","","Nakheel","","Resale"
"12190580","2025-12-10","Palm Jumeirah","Marina Residences","Marina Residences 2","","","4450000","2566","27609","1734","161.18","Apartment","2","","","","Y","0","0","","6","Title Deed","","Nakheel","","Resale"
