"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"25261343","2026-03-06 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","290000","290000","119","1280.35","2438","226.57","Apartment","3","","","","Y","0","0","","7","","2027-03-05 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25290992","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","189740","380000","107","1150.26","1778","165.19","Apartment","2","","","","Y","0","0","","10","","2028-02-29 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25280471","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","260000","260000","127","1369.86","2043","189.89","Apartment","2","","","","Y","0","0","","2","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25260089","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","169000","169000","90","972.77","1870","173.73","Apartment","2","","","","Y","0","0","","8","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"24765399","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","237000","237000","133","1434.8","1778","165.19","Apartment","2","Community,Swimming Pool,Partial Marina","","","Y","0","0","","10","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25285082","2026-02-28 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","310000","310000","123","1321.79","2524","234.53","Apartment","3","","","","Y","0","0","","12","","2027-02-27 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25254603","2026-02-26 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","317610","157500","131","1410.04","2438","226.57","Apartment","3","","","","Y","0","0","","9","","2026-08-25 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25281543","2026-02-24 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","240000","240000","138","1488.74","1735","161.21","Apartment","2","","","","Y","0","0","","5","","2027-02-23 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25242902","2026-02-23 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","370000","370000","213","2295.14","1735","161.21","Apartment","2","","","","Y","0","0","","7","","2027-02-22 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25236259","2026-02-20 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","150000","150000","84","908.6","1777","165.18","Apartment","2","","","","Y","0","0","","13","","2027-02-19 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25242946","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","245000","245000","140","1510.67","1745","162.18","Apartment","2","","","","Y","0","0","","8","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25228795","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","200000","200000","115","1240.62","1735","161.21","Apartment","2","","","","Y","0","0","","6","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25159133","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","210000","210000","118","1271.34","1778","165.19","Apartment","2","","","","Y","0","0","","11","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25260138","2026-02-12 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","500000","500000","281","3027","1778","165.19","Apartment","2","","","","Y","0","0","","11","","2027-02-11 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25238360","2026-02-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","220000","220000","114","1228.91","1927","179.07","Apartment","2","","","","Y","0","0","","4","","2027-02-09 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25082590","2026-02-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","200000","200000","98","1053.74","2043","189.89","Apartment","2","","","","Y","0","0","","2","","2027-02-09 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25199688","2026-02-09 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","210000","210000","121","1303.62","1734","161.18","Apartment","2","","","","Y","0","0","","9","","2027-02-08 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25218756","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","214999","214999","124","1333.91","1735","161.18","Apartment","2","SEA","","","","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Sea View | Fully Furnished | Ready To Move","Nakheel","NULL"
"25218546","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","220000","220000","108","1157.59","2046","190.05","Apartment","2","","","","Y","0","0","","1","","2026-02-07 00:00:00","Active Listings","","No","","","Direct Pool Access | Garden Views | Spacious","Nakheel","NULL"
"25218392","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","230000","230000","129","1392.34","1778","165.19","Apartment","2","","","","","0","0","","10","","2026-02-07 00:00:00","Active Listings","","Yes","","","Atlantis View | Furnished | With Maids Room","Nakheel","NULL"
"24957199","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","224999","225000","116","1251.39","1935","179.8","Apartment","2","Road,Swimming Pool,Community","","","Y","0","0","","3","","2026-02-07 00:00:00","Active Listings","","Yes","","","Large Balcony | Maids Room | Newly Upgraded","Nakheel","NULL"
"24792815","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","335000","340000","139","1500.51","2439","226.57","Apartment","3","","","","Y","0","0","","8","","2026-02-07 00:00:00","Active Listings","","No","","","3 Bedrooms Plus Maids | Marina View | Available Now","Nakheel","NULL"
"24133708","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","219000","219000","108","1167.56","2019","187.58","Apartment","2","","","","Y","0","0","","12","","2026-02-07 00:00:00","Active Listings","","No","","","Spacious 2BR | Atlantis ViewS | High Floor","Nakheel",""
"23298315","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","240000","240000","135","1452.96","1778","165.19","Apartment","2","","","","Y","0","0","","10","","2026-02-07 00:00:00","Active Listings","","Yes","","","High Floor | Spacious | Sunset View","Nakheel",""
"23243051","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","230000","230000","133","1426.89","1735","161.18","Apartment","2","SEA","","","Y","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Vacant | 2 + Maid | Sea Views | Turn Key","Nakheel",""
"23234996","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","900000","900000","88","944.75","10254","952.65","Apartment","4","Marina Skyline","","","Y","0","0","","14","","2026-02-07 00:00:00","Active Listings","","No","","","Well Maintained | Biggest Layout | Vacant","Nakheel",""
"23216624","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","220000","220000","127","1364.85","1735","161.18","Apartment","2","SEA","","","Y","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Spacious | Vacant | Marina View","Nakheel",""
