"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"25346036","2026-03-22 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","260000","260000","133","1435.04","1950","181.18","Apartment","2","","","","","0","0","","3","","2027-03-21 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25352026","2026-03-21 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","207386","87500","120","1287.1","1746","162.18","Apartment","2","","","","","0","0","","5","","2026-08-21 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25171045","2026-03-19 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","200000","200000","101","1090.04","1975","183.51","Apartment","2","Pool","","","Y","0","0","","1","","2027-03-18 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25353436","2026-03-18 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","215000","215000","105","1131.64","2045","189.99","Apartment","2","","","","","0","0","","1","","2027-03-17 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25344704","2026-03-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","220000","220000","127","1364.93","1735","161.18","Apartment","2","","","","","0","0","","6","","2027-03-14 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25311982","2026-03-13 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","189000","189000","101","1087.9","1870","173.73","Apartment","2","","","","","0","0","","5","","2027-03-12 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25342369","2026-03-12 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","190000","190000","102","1093.65","1870","173.73","Apartment","2","","","","","0","0","","6","","2027-03-11 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25334470","2026-03-11 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","190000","190000","93","1003.91","2037","189.26","Apartment","2","","","","","0","0","","2","","2027-03-10 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25327266","2026-03-11 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","176400","176400","95","1022.08","1858","172.59","Apartment","2","","","","","0","0","","3","","2027-03-10 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25325392","2026-03-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","220000","220000","126","1356.52","1746","162.18","Apartment","2","","","","","0","0","","9","","2027-03-09 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25261343","2026-03-06 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","290000","290000","119","1279.96","2438","226.57","Apartment","3","","","","Y","0","0","","7","","2027-03-05 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25313680","2026-03-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","230000","230000","129","1392.42","1778","165.18","Apartment","2","","","","","0","0","","12","","2027-03-04 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25326288","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","184800","184800","106","1139.47","1746","162.18","Apartment","2","","","","","0","0","","7","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25301792","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","263451","275000","108","1165.84","2439","226.57","Apartment","3","","","","","0","0","","8","","2027-03-16 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25290992","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","189740","380000","107","1150.19","1778","165.19","Apartment","2","","","","Y","0","0","","10","","2028-02-29 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25280471","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","260000","260000","127","1369.86","2043","189.89","Apartment","2","","","","Y","0","0","","2","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25260089","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","169000","169000","90","972.77","1870","173.73","Apartment","2","","","","Y","0","0","","8","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"24765399","2026-03-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","237000","237000","133","1434.8","1778","165.19","Apartment","2","Community,Swimming Pool,Partial Marina","","","Y","0","0","","10","","2027-02-28 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25285082","2026-02-28 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","310000","310000","123","1322.02","2524","234.53","Apartment","3","","","","Y","0","0","","12","","2027-02-27 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25254603","2026-02-26 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","317610","157500","131","1409.61","2438","226.57","Apartment","3","","","","Y","0","0","","9","","2026-08-25 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25281543","2026-02-24 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","240000","240000","138","1488.74","1735","161.21","Apartment","2","","","","Y","0","0","","5","","2027-02-23 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25242902","2026-02-23 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","370000","370000","213","2295.43","1735","161.21","Apartment","2","","","","Y","0","0","","7","","2027-02-22 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25236259","2026-02-20 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","150000","150000","84","908.1","1777","165.18","Apartment","2","","","","Y","0","0","","13","","2027-02-19 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25330197","2026-02-19 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","195000","195000","112","1202.37","1746","162.18","Apartment","2","","","","","0","0","","8","","2027-02-18 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25242946","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","245000","245000","140","1511.23","1745","162.18","Apartment","2","","","","Y","0","0","","8","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25228795","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","200000","200000","115","1240.77","1735","161.21","Apartment","2","","","","Y","0","0","","6","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25159133","2026-02-15 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","210000","210000","118","1271.26","1778","165.19","Apartment","2","","","","Y","0","0","","11","","2027-02-14 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25260138","2026-02-12 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","500000","500000","281","3026.82","1778","165.19","Apartment","2","","","","Y","0","0","","11","","2027-02-11 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25307260","2026-02-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","220000","220000","124","1331.8","1778","165.19","Apartment","2","","","","","0","0","","13","","2027-02-09 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25238360","2026-02-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","220000","220000","114","1228.57","1927","179.07","Apartment","2","","","","Y","0","0","","4","","2027-02-09 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25082590","2026-02-10 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","200000","200000","98","1053.24","2043","189.89","Apartment","2","","","","Y","0","0","","2","","2027-02-09 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25199688","2026-02-09 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","210000","210000","121","1302.89","1734","161.18","Apartment","2","","","","Y","0","0","","9","","2027-02-08 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25218756","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","214999","214999","124","1333.91","1735","161.18","Apartment","2","SEA","","","","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Sea View | Fully Furnished | Ready To Move","Nakheel","NULL"
"25218546","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","220000","220000","108","1157.59","2046","190.05","Apartment","2","","","","Y","0","0","","1","","2026-02-07 00:00:00","Active Listings","","No","","","Direct Pool Access | Garden Views | Spacious","Nakheel","NULL"
"25218392","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","230000","230000","129","1392.34","1778","165.19","Apartment","2","","","","","0","0","","10","","2026-02-07 00:00:00","Active Listings","","Yes","","","Atlantis View | Furnished | With Maids Room","Nakheel","NULL"
"24957199","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","224999","225000","116","1251.39","1935","179.8","Apartment","2","Road,Swimming Pool,Community","","","Y","0","0","","3","","2026-02-07 00:00:00","Active Listings","","Yes","","","Large Balcony | Maids Room | Newly Upgraded","Nakheel","NULL"
"24792815","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","335000","340000","139","1500.51","2439","226.57","Apartment","3","","","","Y","0","0","","8","","2026-02-07 00:00:00","Active Listings","","No","","","3 Bedrooms Plus Maids | Marina View | Available Now","Nakheel","NULL"
"24133708","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","219000","219000","108","1167.56","2019","187.58","Apartment","2","","","","Y","0","0","","12","","2026-02-07 00:00:00","Active Listings","","No","","","Spacious 2BR | Atlantis ViewS | High Floor","Nakheel",""
"23298315","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","240000","240000","135","1452.96","1778","165.19","Apartment","2","","","","Y","0","0","","10","","2026-02-07 00:00:00","Active Listings","","Yes","","","High Floor | Spacious | Sunset View","Nakheel",""
"23243051","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","230000","230000","133","1426.89","1735","161.18","Apartment","2","SEA","","","Y","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Vacant | 2 + Maid | Sea Views | Turn Key","Nakheel",""
"23234996","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","900000","900000","88","944.75","10254","952.65","Apartment","4","Marina Skyline","","","Y","0","0","","14","","2026-02-07 00:00:00","Active Listings","","No","","","Well Maintained | Biggest Layout | Vacant","Nakheel",""
"23216624","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","220000","220000","127","1364.85","1735","161.18","Apartment","2","SEA","","","Y","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Spacious | Vacant | Marina View","Nakheel",""
"23152105","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","450000","450000","113","1212.15","3996","371.26","Apartment","2","Marina View","","","Y","0","0","","LG","","2026-02-07 00:00:00","Active Listings","","Yes","","","Full Water View I Fully Furnished I Massive Plot","Nakheel",""
"23003080","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","215000","230000","133","1426.98","1735","161.18","Apartment","2","SEA","","","Y","0","0","","6","","2026-02-07 00:00:00","Active Listings","","Yes","","","Fully Furnished - Near to Local Amenities","Nakheel",""
"22706880","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","350000","345000","142","1523.11","2438","226.51","Apartment","3","","","","Y","0","0","","2","","2026-02-07 00:00:00","Active Listings","","No","","","Full Sea View | 3 Bedroooms plus Maids | Nakheel Access","Nakheel",""
"22550515","2026-02-07 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","239000","240000","137","1479.56","1746","162.18","Apartment","2","Community,Atlantis,Road,Restricted Sea,Swimming Pool","","","Y","0","0","","13","","2026-02-07 00:00:00","Active Listings","","Yes","","","Furnished | Great Views | Sought After","Nakheel",""
"25125934","2026-02-06 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","220000","220000","124","1331.88","1777","165.18","Apartment","2","","","","Y","0","0","","13","","2027-02-05 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25172356","2026-02-06 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","230000","249000","143","1535.33","1746","162.18","Apartment","2","Community,Atlantis,Road,Restricted Sea,Swimming Pool","","","Y","0","0","","13","","2026-02-06 00:00:00","Active Listings","","Yes","","","Palm Views| Elegantly Furnished | High Floor","Nakheel","NULL"
"25115127","2026-02-06 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","350000","375000","149","1598.94","2524","234.53","Apartment","3","","","","Y","0","0","","12","","2026-02-06 00:00:00","Active Listings","","No","","","High Floor Burj Downtown View | Type B","Nakheel","NULL"
"25214435","2026-02-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","640000","640000","254","2728.86","2524","234.53","Apartment","3","Community,Marina,Swimming Pool","","","Y","0","0","","13","","2027-02-04 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25203676","2026-02-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","229999","229999","112","1210.14","2046","190.06","Apartment","2","","","","","0","0","","1","","2026-02-05 00:00:00","Active Listings","","Yes","","","Vacant | Multiple Options | Large Layout","Nakheel","NULL"
"25202991","2026-02-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","228000","228000","131","1405.59","1746","162.18","Apartment","2","Sea","","","Y","0","0","","5","","2026-02-05 00:00:00","Active Listings","","No","","","Vacant April | Excellent Condition | Unfurnished","Nakheel","NULL"
"25202915","2026-02-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","199999","199999","112","1210.72","1778","165.19","Apartment","2","","","","","0","0","","10","","2026-02-05 00:00:00","Active Listings","","No","","","Atlantis View | Prime Location | Vacant","Nakheel","NULL"
"25202752","2026-02-05 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","225000","225000","110","1183.71","2046","190.05","Apartment","2","","","","Y","0","0","","1","","2026-02-05 00:00:00","Active Listings","","No","","","Exclusive | Vacant Now | Unfurnished","Nakheel","NULL"
"25193683","2026-02-04 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","750000","750000","185","1991.61","4053","376.58","Apartment","3","","","","","0","0","","7","","2026-02-04 00:00:00","Active Listings","","Yes","","","Available in March | Fully Renovated | Furnished","Nakheel","NULL"
"25180989","2026-02-04 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","220000","220000","127","1365.7","1734","161.18","Apartment","2","","","","Y","0","0","","9","","2026-02-04 00:00:00","Active Listings","","No","","","Price Reduced Sunset View | Upgraded |Type C","Nakheel","NULL"
"24261798","2026-02-04 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","330000","330000","135","1456.89","2438","226.51","Apartment","3","","","","Y","0","0","","2","","2026-02-04 00:00:00","Active Listings","","No","","","Available Now | Sea View | High Floor","Nakheel",""
"25243898","2026-02-03 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","245000","245000","140","1510.67","1745","162.18","Apartment","2","Community,Marina","","","Y","0","0","","7","","2027-02-02 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25179945","2026-02-03 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","1100000","1100000","271","2921.34","4053","376.58","Apartment","3","","","","Y","0","0","","10","","2027-02-02 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25182606","2026-02-03 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","250000","250000","134","1441.34","1867","173.44","Apartment","2","","","","Y","0","0","","4","","2026-02-03 00:00:00","Active Listings","","Yes","","","Sea View | Fully Furnished | Vacant Now","Nakheel","NULL"
"25182263","2026-02-03 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","330000","330000","135","1456.95","2438","226.57","Apartment","3","","","","Y","0","0","","9","","2026-02-03 00:00:00","Active Listings","","No","","","Unfurnished | Full Sea View | High Floor","Nakheel","NULL"
"25181882","2026-02-03 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","410000","410000","236","2543.58","1735","161.21","Apartment","2","Marina, Road, Swimming Pool","","","Y","0","0","","5","","2026-02-03 00:00:00","Active Listings","","No","","","Contemporary Japandi | Marina View | Wood Flooring","Nakheel","NULL"
"25293981","2026-02-02 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","220000","220000","80","865.83","2735","254.16","Apartment","3","Marina","","","Y","0","0","","1","","2027-02-01 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25174887","2026-02-02 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","270000","270000","138","1490.4","1950","181.18","Apartment","2","","","","Y","0","0","","3","","2026-02-02 00:00:00","Active Listings","","Yes","","","Sea View I Fully Upgraded | Vacant","Nakheel","NULL"
"22882436","2026-02-02 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","1200000","1200000","296","3186.57","4053","376.58","Apartment","3","","","","Y","0","0","","10","","2026-02-02 00:00:00","Active Listings","","Yes","","","Luxury upgrades | Rare A- type | Sea View","Nakheel",""
"25281387","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","215000","215000","111","1195.77","1935","179.8","Apartment","2","","","","Y","0","0","","3","","2027-01-31 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25256735","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","275000","275000","147","1582.92","1870","173.73","Apartment","2","","","","Y","0","0","","10","","2027-01-31 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25156867","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","290000","290000","115","1236.52","2524","234.53","Apartment","3","","","","Y","0","0","","11","","2027-01-31 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25131858","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","195000","195000","112","1209.83","1734","161.18","Apartment","2","","","","Y","0","0","","9","","2027-01-31 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25084033","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","200000","200000","115","1240.62","1735","161.21","Apartment","2","","","","Y","0","0","","9","","2027-01-31 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25173706","2026-02-01 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 5","","","304167","125000","158","1702.48","1936","179.88","Apartment","2","","","","Y","0","0","","4","","2026-06-30 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25142862","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","193000","193000","100","1072.94","1936","179.88","Apartment","2","","","","Y","0","0","","4","","2027-01-29 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"25126174","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","190000","190000","110","1178.59","1735","161.21","Apartment","2","","","","Y","0","0","","6","","2027-01-29 00:00:00","Rental Contracts","","","","","","Nakheel","New"
"25161651","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","375000","375000","149","1598.94","2524","234.53","Apartment","3","","","","Y","0","0","","12","","2026-01-30 00:00:00","Active Listings","","No","","","High Floor | Palm View | Vacant","Nakheel","NULL"
"25161341","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","225000","225000","127","1362.15","1778","165.19","Apartment","2","","","","Y","0","0","","10","","2026-01-30 00:00:00","Active Listings","","No","","","Vacant Now | Bldg 04 | Type C | Sea View","Nakheel","NULL"
"25161053","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","330000","330000","135","1456.95","2438","226.57","Apartment","3","","","","Y","0","0","","9","","2026-01-30 00:00:00","Active Listings","","No","","","3 Beds | Full Sea View | Spacious | Type B","Nakheel","NULL"
"25161019","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","250000","250000","143","1541.5","1745","162.18","Apartment","2","","","","Y","0","0","","8","","2026-01-30 00:00:00","Active Listings","","Yes","","","Fully Furnished | Full Sea View | Type C","Nakheel","NULL"
"25147312","2026-01-30 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","410000","410000","236","2543.27","1735","161.21","Apartment","2","Marina, Road, Swimming Pool","","","Y","0","0","","5","","2026-01-30 00:00:00","Active Listings","","Yes","","","Fully Renovated | Sea View | Furnished Or Unfurnished","Nakheel","NULL"
"25155253","2026-01-29 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","400000","400000","229","2465.94","1746","162.18","Apartment","2","","","","Y","0","0","","13","","2026-01-29 00:00:00","Active Listings","","Yes","","","NEWLY RENOVATED | PALM JUMEIRAH | FURNISHED","Nakheel","NULL"
"25153352","2026-01-29 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 4","","","230000","230000","133","1426.98","1734","161.18","Apartment","2","","","","Y","0","0","","9","","2026-01-29 00:00:00","Active Listings","","No","","","2bhk + Maids | Resort Style Amenities | Excellent","Nakheel","NULL"
"25147221","2026-01-28 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 1","","","750000","750000","185","1991.61","4053","376.58","Apartment","3","","","","","0","0","","12","","2026-01-28 00:00:00","Active Listings","","Yes","","","Upgraded | Furnished | Type A | Palm View","Nakheel","NULL"
"25145631","2026-01-28 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","275000","275000","158","1695.65","1746","162.18","Apartment","2","SEA","","","","0","0","","12","","2026-01-28 00:00:00","Active Listings","","Yes","","","High Floor | Upgraded Apartment | Sea View","Nakheel","NULL"
"25137730","2026-01-27 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 6","","","310000","310000","179","1922.96","1735","161.21","Apartment","2","","","","Y","0","0","","7","","2026-01-27 00:00:00","Active Listings","","No","","","Renovated | Royal Atlantis View | 2BR plus Maids","Nakheel","NULL"
"25093901","2026-01-26 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 2","","","300000","300000","110","1180.68","2735","254.16","Apartment","3","","","","Y","0","0","","1","","2027-01-25 00:00:00","Rental Contracts","","","","","","Nakheel","Renewal"
"22626108","2026-01-26 00:00:00","Palm Jumeirah","Marina Residences","Marina Residences 3","","","200000","190000","102","1093.65","1870","173.73","Apartment","2","","","","Y","0","0","","6","","2026-01-26 00:00:00","Active Listings","","No","","","Available and Vacant | Direct Access to Nakheel Mall | Huge Terrace | Kitchen Appliances","Nakheel",""
